=== KẾT QUẢ TỐI ƯU HÓA LỘ TRÌNH (OR-TOOLS) ===
Tổng quãng đường: 721.66 km
Số lượng xe sử dụng: 160
Thời gian giới hạn: 10 giây
------------------------------
Lộ trình chi tiết:
Route #104: 511 852 649 1512 1562 305 86 1148 941 1439
Route #105: 914 531 1354 72 388 588 967 608 454 1345
Route #106: 409 121 53 1178 113 274 1231 610 839 512
Route #107: 1458 119 473 1003 603 520 1496 1078 881 1479
Route #108: 327 1155 928 182 279 919 280 882 711 695
Route #109: 1012 1331 836 1080 1125 1065 730 55 739 508
Route #110: 1431 712 1273 1357 1547 515 1401 931 1467 1134
Route #111: 239 170 347 129 1029 1557 902 1017 266 16
Route #112: 540 17 277 329 812 1518 1209 1097 89 1494
Route #113: 506 1131 1137 703 1316 545 1030 1120 1146 583
Route #114: 153 993 80 727 397 869 961 140 868 1192
Route #115: 1433 706 482 419 885 492 1468 1404 813 447
Route #116: 579 1183 470 1198 895 591 1226 1094 792 569
Route #117: 1453 873 1572 660 284 1062 1128 29 1132 1589
Route #118: 568 800 478 555 43 115 824 1085 607 676
Route #119: 802 1054 1563 624 523 1539 70 717 909 1172
Route #120: 594 1410 697 1371 1503 1348 1232 753 587 395
Route #121: 351 551 1163 1034 694 1465 948 572 674 861
Route #122: 598 358 258 1039 616 1250 1333 1506 1197 609
Route #123: 145 1186 562 1307 920 1342 851 375 613 837
Route #124: 838 1051 490 752 297 737 923 400 1067 1336
Route #125: 1579 1280 714 1055 432 1297 1561 715 637 467
Route #126: 276 1332 234 257 1583 1446 2 1392 214 82
Route #127: 135 699 917 878 565 248 25 557 1440 744
Route #128: 97 1430 237 773 1117 1144 915 103 1251 765
Route #129: 292 821 501 323 1406 1008 857 1109 471 313
Route #130: 489 1520 1289 87 20 602 1227 762 834 780
Route #131: 1425 110 1253 1217 451 1560 705 52 528 1057
Route #132: 601 132 702 191 346 91 1438 1550 982 410
Route #133: 1230 1081 158 369 1443 897 1432 1370 314 1412
Route #134: 865 78 95 415 1377 31 1416 808 930 124
Route #135: 1330 656 1 736 835 1386 278 1154 1168 716
Route #136: 1268 325 1519 1073 1299 1492 1528 1044 377 901
Route #137: 1462 1523 126 372 1140 1420 810 1210 499 1545
Route #138: 904 1093 793 201 1153 996 850 1353 1551 1056
Route #139: 217 1133 1010 887 166 628 1006 232 970 992
Route #140: 987 1368 285 682 889 1088 872 891 922 406
Route #141: 225 1052 911 1463 1203 355 768 1529 954 495
Route #142: 844 1576 848 1505 1254 1540 430 550 426 185
Route #143: 177 1389 1326 592 1142 102 218 518 1460 496
Route #144: 1130 1538 1350 1365 1151 999 544 943 84 1591
Route #145: 385 90 79 558 611 1534 162 829 71 1190
Route #146: 1281 1049 556 1111 180 859 975 1428 287 189
Route #147: 435 1521 789 655 516 913 1535 412 1076 906
Route #148: 686 671 1225 719 54 312 658 1170 1575 73
Route #149: 1119 1127 522 472 488 1110 1159 645 459 350
Route #150: 414 733 389 766 354 1288 261 283 1448 475
Route #151: 206 1321 1595 398 1304 632 1352 1375 1379 1374
Route #152: 1276 200 208 1143 534 240 404 1106 1409 1581
Route #153: 407 99 1559 345 903 15 178 745 965 85
Route #154: 1356 1434 938 111 1068 1549 1036 1556 465 1074
Route #155: 1283 353 1180 1218 28 294 155 664 630 317
Route #156: 334 152 1341 764 1574 691 227 983 486 1015
Route #157: 1502 458 1290 1092 1240 1200 1219 748 203 1584
Route #158: 798 35 1064 1171 963 1237 13 759 1447 1063
Route #159: 1385 581 1382 1585 991 972 809 1059 291 853
Route #160: 521 718 402 944 650 709 370 416 446 246
